iter	RMSE
0	18215.6202
1	17632.65438
2	17108.03458
3	16634.28873
4	16068.41289
5	15563.35815
6	15166.47506
7	14713.61852
8	14299.65617
9	13998.04779
10	13721.94953
11	13431.14626
12	13138.04315
13	12868.00083
14	12627.74937
15	12427.34274
16	12248.48172
17	12072.23651
18	11974.80072
19	11806.2282
20	11794.90232
21	11675.8583
22	11616.17239
23	11495.79058
24	11385.52433
25	11385.28044
26	11266.78398
27	11114.64864
28	11114.30717
29	11071.17515
30	11032.57916
31	10950.26411
32	10924.31289
33	10853.1228
34	10848.89194
35	10808.63315
36	10723.30293
37	10660.0722
38	10652.25995
39	10618.46868
40	10536.74808
41	10482.62835
42	10454.25127
43	10435.25152
44	10377.81522
45	10327.33004
46	10271.48048
47	10217.01861
48	10179.14516
49	10105.75269
50	10060.77802
51	10023.09987
52	9980.278681
53	9949.88286
54	9949.844366
55	9901.612208
56	9858.710818
57	9823.759102
58	9806.424992
59	9746.394784
60	9712.558558
61	9700.108546
62	9680.216116
63	9649.458321
64	9635.977072
65	9591.409247
66	9535.165271
67	9508.609383
68	9496.174616
69	9460.193667
70	9445.756754
71	9408.567657
72	9408.546186
73	9394.317837
74	9384.762678
75	9308.01397
76	9274.308599
77	9243.710275
78	9233.815823
79	9230.404973
80	9208.076686
81	9181.668038
82	9155.553034
83	9128.3024
84	9121.368794
85	9087.575704
86	9046.909266
87	9031.155529
88	8992.124431
89	8981.620586
90	8971.970093
91	8936.657668
92	8912.993187
93	8891.592614
94	8866.01557
95	8841.441967
96	8831.291151
97	8806.537039
98	8785.746587
99	8760.160271
100	8710.540522
101	8696.821142
102	8681.453615
103	8670.755261
104	8667.919796
105	8649.905879
106	8631.90723
107	8617.842863
108	8596.145522
109	8592.547087
110	8567.796773
111	8544.19352
112	8526.97765
113	8498.520409
114	8486.12703
115	8466.16057
116	8453.935997
117	8434.335966
118	8424.879083
119	8395.43214
120	8379.389557
121	8354.081192
122	8335.858425
123	8314.736415
124	8288.187136
125	8266.276258
126	8250.982661
127	8239.740165
128	8204.874963
129	8186.782445
130	8164.457103
131	8152.743565
132	8135.520654
133	8103.944805
134	8083.665453
135	8042.797055
136	8025.090087
137	8005.756911
138	7999.879825
139	7972.578881
140	7955.723838
141	7942.115917
142	7932.779609
143	7917.198229
144	7890.331652
145	7885.785097
146	7864.565022
147	7844.25866
148	7831.08832
149	7819.014868
150	7795.80555
151	7783.673617
152	7775.200631
153	7774.272768
154	7768.699947
155	7745.756349
156	7723.63399
157	7718.92705
158	7690.896322
159	7690.527902
160	7689.151564
161	7684.925352
162	7661.274795
163	7653.921944
164	7630.743303
165	7616.416778
166	7593.134797
167	7581.267661
168	7578.449819
169	7564.977051
170	7557.020621
171	7535.513092
172	7529.821537
173	7512.986648
174	7505.614349
175	7500.691993
176	7485.413491
177	7479.088138
178	7473.198435
179	7467.936722
180	7466.410397
181	7465.71929
182	7447.574736
183	7435.199865
184	7424.302088
185	7420.071287
186	7403.834867
187	7398.531615
188	7384.826603
189	7370.028214
190	7365.319298
191	7355.292932
192	7347.477856
193	7316.054371
194	7315.463248
195	7301.883322
196	7283.591375
197	7272.056524
198	7264.100118
199	7253.088686
200	7234.559953
201	7229.355198
202	7216.340766
203	7199.198218
204	7164.749358
205	7155.100574
206	7142.00575
207	7129.512032
208	7110.486776
209	7109.239933
210	7099.389273
211	7086.488471
212	7084.077839
213	7078.895434
214	7077.831707
215	7074.020113
216	7065.750263
217	7060.44121
218	7046.677009
219	7022.938493
220	6996.683842
221	6993.587529
222	6980.152159
223	6970.807376
224	6963.402649
225	6944.246341
226	6938.439376
227	6914.666658
228	6900.811841
229	6885.384597
230	6867.445686
231	6854.47546
232	6844.889503
233	6839.402582
234	6833.220457
235	6821.157574
236	6804.295074
237	6791.509895
238	6784.440801
239	6777.979535
240	6750.954575
241	6733.654377
242	6719.18493
243	6717.162289
244	6715.284823
245	6708.404418
246	6706.208346
247	6694.201496
248	6685.406504
249	6676.329456
250	6663.683254
251	6663.130652
252	6657.972549
253	6645.787274
254	6644.461598
255	6627.038234
256	6622.85833
257	6606.735868
258	6594.036919
259	6580.700695
260	6569.806813
261	6560.998102
262	6559.140057
263	6545.750919
264	6543.91439
265	6521.956331
266	6512.801617
267	6512.003371
268	6510.385952
269	6505.708343
270	6501.982181
271	6493.282272
272	6476.625027
273	6462.831566
274	6456.752691
275	6447.519453
276	6445.776416
277	6444.00542
278	6442.460541
279	6440.975841
280	6440.690227
281	6421.986172
282	6405.905837
283	6377.19392
284	6365.955532
285	6349.868918
286	6326.715875
287	6325.354319
288	6308.235934
289	6301.610899
290	6301.400862
291	6296.230935
292	6295.009027
293	6277.735548
294	6261.476992
295	6259.178807
296	6258.077045
297	6230.099288
298	6217.283633
299	6213.652436
300	6212.445529
301	6209.642998
302	6206.998374
303	6201.886319
304	6198.005451
305	6195.80446
306	6180.024591
307	6170.805787
308	6161.196005
309	6151.098854
310	6129.495833
311	6123.489264
312	6122.99219
313	6110.431627
314	6104.511395
315	6096.496874
316	6085.851812
317	6066.540617
318	6056.726502
319	6038.778692
320	6036.310464
321	6010.165098
322	6003.37306
323	5992.548406
324	5983.639499
325	5977.844891
326	5977.057519
327	5965.162872
328	5963.207953
329	5953.694122
330	5952.911183
331	5945.545055
332	5930.816201
333	5927.304306
334	5924.870616
335	5916.78852
336	5909.899542
337	5906.591349
338	5898.882984
339	5890.716052
340	5877.534554
341	5870.755623
342	5856.235957
343	5850.828678
344	5841.86229
345	5837.96964
346	5834.546052
347	5817.186177
348	5814.501978
349	5809.481023
350	5787.853749
351	5756.764102
352	5742.757056
353	5735.779402
354	5733.475108
355	5726.253731
356	5719.206357
357	5708.73768
358	5704.255065
359	5704.126309
360	5688.125179
361	5679.779597
362	5674.178899
363	5668.872434
364	5657.05837
365	5648.590395
366	5647.82694
367	5644.701392
368	5632.434971
369	5627.331645
370	5621.649609
371	5612.155272
372	5608.502671
373	5592.266255
374	5581.77329
375	5576.840159
376	5558.914261
377	5557.060294
378	5542.087001
379	5541.629412
380	5530.991979
381	5519.789013
382	5505.200971
383	5504.768415
384	5496.22383
385	5489.7001
386	5488.06034
387	5481.211898
388	5473.378619
389	5472.338939
390	5463.387451
391	5457.677392
392	5455.390999
393	5440.197985
394	5426.948736
395	5411.219749
