iter	Passed	Remaining
0	197	197270
1	243	121561
2	292	97334
3	335	83535
4	378	75328
5	414	68683
6	449	63795
7	496	61542
8	535	58931
9	569	56413
10	632	56834
11	672	55379
12	706	53672
13	745	52509
14	778	51128
15	808	49721
16	843	48798
17	879	47972
18	913	47173
19	949	46520
20	986	45991
21	1032	45899
22	1066	45282
23	1105	44940
24	1139	44432
25	1150	43086
26	1184	42677
27	1218	42307
28	1235	41365
29	1266	40955
30	1304	40762
31	1336	40426
32	1369	40116
33	1399	39766
34	1415	39019
35	1431	38325
36	1463	38097
37	1506	38130
38	1516	37367
39	1548	37166
40	1585	37085
41	1619	36939
42	1653	36792
43	1691	36748
44	1730	36728
45	1767	36662
46	1805	36605
47	1849	36679
48	1887	36635
49	1922	36523
50	1953	36356
51	1987	36228
52	2027	36225
53	2071	36297
54	2086	35851
55	2130	35913
56	2174	35970
57	2218	36028
58	2265	36133
59	2308	36172
60	2353	36224
61	2397	36269
62	2441	36310
63	2485	36352
64	2530	36406
65	2576	36457
66	2620	36487
67	2664	36525
68	2707	36533
69	2752	36570
70	2796	36595
71	2840	36608
72	2855	36259
73	2899	36284
74	2951	36397
75	3000	36479
76	3047	36534
77	3095	36592
78	3143	36642
79	3189	36676
80	3237	36730
81	3283	36764
82	3326	36755
83	3369	36740
84	3412	36730
85	3456	36736
86	3500	36735
87	3545	36749
88	3590	36756
89	3634	36751
90	3678	36742
91	3721	36734
92	3765	36721
93	3808	36709
94	3854	36717
95	3898	36706
96	3942	36703
97	3986	36693
98	4031	36686
99	4074	36671
100	4118	36660
101	4163	36656
102	4208	36647
103	4253	36642
104	4305	36697
105	4353	36716
106	4401	36731
107	4450	36759
108	4496	36757
109	4555	36856
110	4617	36979
111	4684	37139
112	4734	37163
113	4804	37342
114	4862	37419
115	4917	37477
116	4980	37587
117	5029	37590
118	5067	37519
119	5116	37519
120	5157	37466
121	5217	37546
122	5300	37789
123	5375	37972
124	5479	38355
125	5558	38553
126	5618	38624
127	5684	38727
128	5732	38708
129	5800	38821
130	5850	38810
131	5906	38842
132	5953	38810
133	5999	38773
134	6048	38755
135	6098	38742
136	6140	38683
137	6179	38596
138	6217	38515
139	6251	38404
140	6284	38288
141	6319	38184
142	6357	38101
143	6391	37991
144	6423	37879
145	6474	37869
146	6528	37885
147	6589	37932
148	6656	38016
149	6713	38043
150	6776	38098
151	6827	38089
152	6876	38066
153	6925	38045
154	6979	38049
155	7025	38010
156	7079	38011
157	7146	38082
158	7208	38129
159	7271	38177
160	7340	38255
161	7404	38300
162	7468	38349
163	7524	38358
164	7587	38398
165	7651	38443
166	7708	38451
167	7754	38403
168	7798	38346
169	7842	38287
170	7887	38237
171	7932	38185
172	7978	38139
173	8022	38081
174	8066	38030
175	8111	37974
176	8155	37919
177	8199	37862
178	8245	37816
179	8292	37774
180	8351	37789
181	8405	37779
182	8464	37790
183	8517	37773
184	8562	37720
185	8607	37667
186	8651	37613
187	8694	37552
188	8736	37488
189	8780	37430
190	8823	37371
191	8872	37337
192	8929	37336
193	9029	37512
194	9159	37811
195	9256	37971
196	9322	38001
197	9400	38075
198	9457	38067
199	9513	38053
200	9567	38033
201	9614	37983
202	9679	38004
203	9744	38021
204	9808	38038
205	9874	38058
206	9934	38059
207	9986	38025
208	10024	37940
209	10062	37853
210	10097	37756
211	10129	37649
212	10167	37568
